관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
44760-00001,남령공원,근린공원,,충청남도 부여군 부여읍 쌍북리 619,36.28124385,126.9168591,72718.2,,,화장실,기념비+문화재+의열사+충의사,퍼걸러+벤치,1987-09-22,충청남도 부여군청,041-830-2438,2025-12-10
44760-00002,백제탑공원,근린공원,충청남도 부여군 부여읍 정림로 83,충청남도 부여군 부여읍 동남리 373,36.27902527,126.9128806,22233,,,화장실,사적+박물관,주차장+매표소+창고,1986-11-16,충청남도 부여군청,041-830-8792,2025-12-10
44760-00003,수북공원,근린공원,충청남도 부여군 규암면 수북로 76,충청남도 부여군 규암면 규암리 147-2,36.27555426,126.8902416,5900,,,화장실,정자,주차장,1977-02-17,충청남도 부여군청,041-830-2636,2025-12-10
44760-00004,아름마을 1호 근린공원,근린공원,,충청남도 부여군 규암면 오수리 516,36.30398133,126.8883068,11073.6,,,,,"퍼걸러, 벤치",2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00005,6호어린이공원,어린이공원,충청남도 부여군 부여읍 계백로 418-11,충청남도 부여군 부여읍 쌍북리 730,36.28298639,126.9233096,2710,농구장+운동기구,어린이놀이시설,화장실,,정자+퍼걸러+벤치,1986-11-16,충청남도 부여군청,041-830-2438,2025-12-10
44760-00006,신리어린이공원,어린이공원,,충청남도 부여군 규암면 신리 726,36.30142239,126.8957718,1515.4,,어린이놀이시설,,,퍼걸러+벤치,2008-03-10,충청남도 부여군청,041-830-2438,2025-12-10
44760-00007,아름마을 1호 어린이공원,어린이공원,,충청남도 부여군 규암면 오수리 637,36.2987182,126.8925926,4287.1,운동기구,,전망대,,"퍼걸러, 벤치",2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00008,아름마을 2호 어린이공원,어린이공원,,충청남도 부여군 규암면 오수리 558,36.30214813,126.8913971,2128.8,,어린이놀이시설,,,"퍼걸러, 벤치",2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00009,아름마을 3호 어린이공원,어린이공원,,충청남도 부여군 규암면 오수리 519,36.30524111,126.8898773,4004.7,운동기구,,,옛무덤 복원지,"퍼걸러, 벤치",2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00010,8호소공원,소공원,,충청남도 부여군 부여읍 쌍북리 50,36.28616248,126.9292074,2186,,,,,벤치,2022-02-10,충청남도 부여군청,041-830-2642,2025-12-10
44760-00011,호암1호소공원,소공원,,충청남도 부여군 규암면 호암리 116-3,36.31094149,126.9207641,4490,,,,,"퍼걸러, 벤치",2016-12-30,충청남도 부여군청,041-830-2949,2025-12-10
44760-00012,아름마을 1호 소공원,소공원,,충청남도 부여군 규암면 오수리 540,36.30292599,126.8944165,1312,,,,,"퍼걸러, 벤치",2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00013,아름마을 2호 소공원,소공원,,충청남도 부여군 규암면 오수리 528,36.30409375,126.8902566,5797.6,,,,,"퍼걸러, 벤치",2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00014,아름마을 3호 소공원,소공원,,충청남도 부여군 규암면 오수리 538-1,36.30431842,126.8931962,1593.6,운동기구,,,,벤치,2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00015,아름마을 4호 소공원,소공원,,충청남도 부여군 규암면 오수리 578,36.30130254,126.8934789,358.9,,,,,벤치,2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00016,아름마을 5호 소공원,소공원,,충청남도 부여군 규암면 오수리 635,36.2991024,126.893507,387.9,운동기구,어린이놀이시설,전망대,,"퍼걸러, 벤치",2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00017,아름마을 6호 소공원,소공원,,충청남도 부여군 규암면 오수리 593,36.30071402,126.8921866,399.1,,,,,벤치,2010-12-20,충청남도 부여군청,041-830-2438,2025-12-10
44760-00018,서동공원,역사공원,,충청남도 부여군 부여읍 동남리 181,36.27189228,126.9106567,476988,,,,"유적지(화지산, 궁남지)","퍼걸러, 벤치",2010-11-01,충청남도 부여군청,041-830-2642,2025-12-10
44760-00019,와요지공원,역사공원,충청남도 부여군 장암면 의자로 1059,충청남도 부여군 장암면 정암리 662-3,36.24525848,126.9152019,43651,,,,유적지(와요지),벤치,2009-02-10,충청남도 부여군청,041-830-2629,2025-12-10
44760-00020,호암1호수변공원,수변공원,,충청남도 부여군 규암면 호암리 152-8,36.30722943,126.9198931,831,,,,,벤치,2016-12-30,충청남도 부여군청,041-830-2949,2025-12-10
44760-00021,초촌소공원1(문화마을),소공원,,충청남도 부여군 초촌면 추양리 499-5,36.26275155,127.0208404,431,,어린이놀이시설,,,벤치,2023-05-10,충청남도 부여군청,041-830-2383,2025-12-10
44760-00022,초촌소공원2(문화마을),소공원,,충청남도 부여군 초촌면 추양리 500-5,36.26267328,127.0219524,442,운동기구,,,,"퍼걸러, 벤치",2023-05-10,충청남도 부여군청,041-830-2383,2025-12-10
44760-00023,석성소공원1(문화마을),소공원,,충청남도 부여군 석성면 증산리 1479,36.24976935,127.0018928,594,,,,,벤치,2023-05-10,충청남도 부여군청,041-830-2383,2025-12-10
44760-00024,규암소공원1(문화마을),소공원,,충청남도 부여군 규암면 오수리 481-5,36.30367597,126.8942338,369,,,,,,2023-05-10,충청남도 부여군청,041-830-2383,2025-12-10
44760-00025,규암소공원2(문화마을),소공원,,충청남도 부여군 규암면 오수리 482-5,36.3035046,126.8945882,746,,어린이놀이시설,,,"퍼걸러, 벤치",2023-05-10,충청남도 부여군청,041-830-2383,2025-12-10
